System,Scope,Alpha,Accuracy,Precision,Recall,F1_Score,ROC_AUC,FPR,FNR,TP,FP,TN,FN
SYSTEM A: BERT Only,Test Set (N=17),1.0,0.5294,0.5294,1.0,0.6923,0.875,1.0,0.0,9,8,0,0
SYSTEM B: XGBoost Only,Test Set (N=17),0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9,0,8,0
SYSTEM C: BERT + XGBoost Fusion (Alpha=0.00),Test Set (N=17),0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9,0,8,0
SYSTEM A: BERT Only,Full Dataset (N=34),1.0,0.5588,0.5588,1.0,0.717,0.9246,1.0,0.0,19,15,0,0
SYSTEM B: XGBoost Only,Full Dataset (N=34),0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,19,0,15,0
SYSTEM C: BERT + XGBoost Fusion (Alpha=0.00),Full Dataset (N=34),0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,19,0,15,0
